source,title,link,published,summary,fetched_at
NYT > World News,‘No Alarm Went Off’: Hong Kong Fire Survivor Recounts Harrowing Escape,https://www.nytimes.com/2025/11/27/world/asia/hong-kong-fire-survivors-escape.html,"Thu, 27 Nov 2025 23:35:38 +0000","Many windows were covered, preventing residents from seeing the fire and smoke, one survivor said.",2025-11-29T13:55:17.122231
NYT > World News,Trump Cut Europe Out of Ukraine Talks. Here’s How Europe Pushed Back.,https://www.nytimes.com/2025/11/27/world/europe/europe-ukraine-trump.html,"Fri, 28 Nov 2025 18:06:13 +0000","European leaders were blindsided by President Trump’s 28-point-plan to end the Ukraine war, setting off a dash for influence.",2025-11-29T13:55:17.122231
NYT > World News,"Pope Leo Lands in Turkey, Planning to Meet Erdogan With a Message of Outreach",https://www.nytimes.com/2025/11/27/world/middleeast/pope-first-foreign-trip-turkey-erdogan.html,"Thu, 27 Nov 2025 17:33:00 +0000",President Recep Tayyip Erdogan received Leo XIV on the opening leg of a trip that will also include Lebanon.,2025-11-29T13:55:17.122231
NYT > World News,Here’s the latest.,https://www.nytimes.com/live/2025/11/27/world/hong-kong-fire/heres-the-latest,"Thu, 27 Nov 2025 23:47:40 +0000",,2025-11-29T13:55:17.122231
NYT > World News,"Heading to the Mideast, Pope Leo May Show ‘Who He Really Is’",https://www.nytimes.com/2025/11/27/world/middleeast/pope-leo-trip.html,"Thu, 27 Nov 2025 14:48:59 +0000","The pontiff begins a trip to Turkey and Lebanon on Thursday — the first foreign voyage of his papacy, and his biggest test yet.",2025-11-29T13:55:17.122231
NYT > World News,Hong Kong Arrests 3 Tied to Construction Company After Deadly Apartment Fire,https://www.nytimes.com/2025/11/26/world/asia/arrests-hong-kong-fire-manslaughter.html,"Thu, 27 Nov 2025 07:26:12 +0000",The police said that building materials used by the company for the work at Wang Fuk Court may not have been up to fire safety standards. The police did not identify the company or who was arrested.,2025-11-29T13:55:17.122231
NYT > World News,"U.S. to Press Europe and Other Allies on Immigration, Document Says",https://www.nytimes.com/2025/11/26/us/politics/trump-rubio-mass-migration.html,"Thu, 27 Nov 2025 02:30:54 +0000",American diplomats were told to raise U.S. concerns about “violent crimes associated with people of a migration background.”,2025-11-29T13:55:17.122231
NYT > World News,Trump Says South Africa Is Not Invited to G20 Summit in U.S. in 2026,https://www.nytimes.com/2025/11/26/world/africa/trump-south-africa-g20.html,"Wed, 26 Nov 2025 23:01:39 +0000","The president did not attend this year’s annual gathering in South Africa, which has been a frequent target of his attacks.",2025-11-29T13:55:17.122231
NYT > World News,"As Trade Talks Stall, Carney Moves to Shield Canada from Trump Tariffs",https://www.nytimes.com/2025/11/26/world/canada/trump-carney-canada-tariffs-trade.html,"Wed, 26 Nov 2025 22:44:59 +0000","Prime Minister Mark Carney announced curbs on steel imports, a new tariff and help with steel and lumber freight costs in a bid to aid Canadian industries.",2025-11-29T13:55:17.122231
NYT > World News,"E.P.A. Delays Requirements to Cut Methane, a Potent Greenhouse Gas",https://www.nytimes.com/2025/11/26/climate/epa-delays-methane-oil-gas.html,"Wed, 26 Nov 2025 22:52:44 +0000","Oil and gas firms were supposed to start reducing methane, a powerful driver of climate change. The agency is giving them more time and may cancel the requirement.",2025-11-29T13:55:17.122231
NYT > World News,Top U.S. Negotiator Warned Europeans That Russia Is Stockpiling Missiles,https://www.nytimes.com/2025/11/26/world/europe/ukraine-peace-talks-russia-missiles.html,"Wed, 26 Nov 2025 22:06:04 +0000","Daniel P. Driscoll, the U.S. Army secretary, used the growing threat from Moscow as a way to sell a quick peace deal unfavorable to Ukraine.",2025-11-29T13:55:17.122231
